id,detil,title,avgprice,comments,avgscore,fornting,address
2458f7c33b9fa991f88c934fe16fc84b,http://e.meituan.com/meishi/5025865/,逸美时光咖啡,33,21,4,http://p1.meituan.net/600.600/mogu/a6091507ec26ff8f4a00216b13dabad4171556.jpg,平潭县中心城区龙凤路与西航路交汇处天涯海角ktv楼内一层南侧
852df927b49d320ea52e5d3d9cf41feb,http://e.meituan.com/meishi/842785/,福州富力威斯汀酒店·知味餐厅,135,516,5,http://p1.meituan.net/600.600/poi/bdd3e220e87a60c5e0722d98d32f42c098304.jpg,台江区江滨中大道366号万达广场富力威斯汀酒店（近曙光路）
4f8a2752ab3ee5db4e6698d673e3fc9e,http://e.meituan.com/meishi/2442317/,梅邑生态园,93,177,4,http://p0.meituan.net/600.600/deal/__7194142__7443616.jpg,鼓楼区屏西路110号
d2afbc6512c63160faaf7cf260246b87,http://e.meituan.com/meishi/4163873/,十八重溪矿泉水（总店）,0,319,4,http://p0.meituan.net/600.600/mogu/8e682acfe293beffea4a89ecdd41fcb796682.jpg,晋安区华林香槟路13号新罗商会5层（近华林永辉）
6a7170a2a655e04c9f1b4551f4523634,http://e.meituan.com/meishi/41802069/,鸡排风云（连潘店）,19,139,5,http://p0.meituan.net/600.600/xianfu/c258a0b3fa3e610074e380ea72d7683c14336.jpg,晋安区象园街道王庄新村南湖14#-15#楼连接体9#店面（康利达旁）
8b89d0979ae455dfca1f449dd6fa718a,http://e.meituan.com/meishi/65828632/,太空舱果木烤吧（金山店）,67,674,4,https://img.meituan.net/600.600/msmerchant/6fcef145378cc498fe388de5f46a611b40193.jpg,仓山区金山大道金榕北路香江明珠01商场01店面金山大润发旁（金山大润发超市）
5920b2793ba888e1953e9434acd899ce,http://e.meituan.com/meishi/834727/,肯德基（宝龙城市广场店）,29,0,4,https://img.meituan.net/600.600/msmerchant/1f4be9598f53738296bad8e9b0feabc014851.png,台江区工业路193号宝龙城市广场2层37-41
2f2b3b5cbb802811976d6607fdb986de,http://e.meituan.com/meishi/4098476/,福州世茂洲际酒店·大堂酒廊,91,16,4,http://p1.meituan.net/600.600/mogu/62dea5d056779f524e397b754d736f33291031.jpg,台江区广达路108号世茂洲际酒店1楼
a0ec49bd10ecbb0c021a837e75ba1952,http://e.meituan.com/meishi/52377183/,英伦之尚（温麻公园店）,23,192,5,http://p1.meituan.net/600.600/deal/658c7644b5ac3dde310b64b39ed41bbf206392.jpg,连江县中心城区温麻公园1-2号楼（益运商业广场旁）
09dee028233cf9308fe7f492f409e3ea,http://e.meituan.com/meishi/1458219/,富豪酒家（正大广场店）,79,261,4,https://img.meituan.net/600.600/msmerchant/f416f8a05d4fabdd1dde67b52efef23b380269.jpg,鼓楼区五一中路18号正大广场5层
d93d8aa957ec3312d22a4c7278fd0981,http://e.meituan.com/meishi/61638129/,诗雅西饼屋,0,61,5,http://p1.meituan.net/600.600/poi/060fdf365df5d6bcb39d444c555686aa88064.jpg,金峰镇金林路新大亨85号（六林便民菜市场斜对面）
78f918dd475fd55b7be4193fb49964d4,http://e.meituan.com/meishi/41920144/,乐美奇汉堡,13,2,4,http://p1.meituan.net/600.600/poi/cedc2cf5526cfad7cc486d929ca7861261440.jpg,永泰县杨梅路泰盛名居4号店（恒洁卫浴旁边）
c745b3c340b2942dd742f3df2cd88f0e,http://e.meituan.com/meishi/40903632/,揽季海物会,145,782,5,http://p1.meituan.net/600.600/mogu/d67429aebf6f4e6fafc10c2cb6d122e037545.jpg,马尾区青洲路66号水产市场2楼
